"hostCompany","hostDescription","remoteHost","port","routering"
# lege regels en regels beginnend met een # worden genegeert
# volgorde van de kolommen komt overeen met het bestand "14.019 IP ADRESSEN HOSTEN OVERZICHT.pdf" v17
#
# hostDescription: 1ste kolom - omschrijving 
# remoteHost: 2de kolom - het ip adres of domain name
# port: 3de kolom - poort nummer (van de remote host)
# routering: 4de kolom - POIP, open internet of open internet over SSL
#          - 1 = Pin over IP (POIP)
#          - 2 = Open Internet
#          - 3 = Open Internet met SSL
#          - 4 = alle typen
# ccv data 15000-15899 (15000-150020

# Equens Host
1,"Equens Transactie Host (CTAP 10)","82.195.48.7",50495,1
1,"Equens Security Host (CTAP 10)","82.195.48.7",50496,1
1,"Equens Transactie Host (CTAP 10)","82.195.52.2",50495,3
1,"Equens Security Host (CTAP 10)","82.195.52.2",50496,3

# CCVPAY Host
2,"CCV Transactie Host","194.104.96.43",10000,1
2,"CCV Security Host","194.104.96.43",10000,1
2,"CCV Transactie Host (CCVPAY EUROPE - CTAP 10)","oltp.ccvpay.nl",10002,3
2,"CCV Security Host (CCVPAY EUROPE - CTAP 10)","oltp.ccvpay.nl",10000,3
2,"CCV TMS","194.104.96.44",15000,3

# AWL 
3,"AWL Transactie Host (AWL EUROPE - CTAP 10)","193.58.87.100",55516,1
3,"AWL Security Host (AWL EUROPE - CTAP 10)","193.58.87.100",55502,1
3,"AWL Transactie Host (AWL EUROPE - CTAP 10)","ctapccawl.payment.banksys.be",20013,3
3,"AWL Security Host (AWL EUROPE - CTAP 10)","sp.payment.banksys.be",5461,3

# XENTURION
4,"XENTURION SBCE","193.58.87.100",15391,4
4,"XENTURION TLS1","193.58.87.100",15392,4
4,"XENTURION TLS2","193.58.87.100",15393,4
4,"XENTURION SCHEDULING","193.58.87.100",15394,4
4,"RTL server (CUG)","193.58.87.100",15391,4

# adyen
5,"Adyen","adyen.com",443,4
5,"Adyen","adyen.com",8443,4
5,"Adyen payments","adyenpayments.com",443,4
5,"Adyen payments","adyenpayments.com",8443,4
